,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
237,2100006161878,278000,2BJ-JA45,2018.0,緑,7472.0,3,2
239,2100006129519,458000,2BJ-JA55,2020.0,茶,849.0,1,26
240,2100006152098,778000,2BK-ZX250E,2022.0,緑,8346.0,5,78
241,2100005732819,1350000,LE2,2014.0,黒,1688.0,1,22
242,2100005690850,695000,2BL-NC59,2021.0,銀,960.0,7,72
243,2100005482615,228000,EBJ-JF56,2014.0,黒,9728.0,3,69
244,2100005892902,498000,2BK-DS11A,2020.0,黒,1542.0,5,40
246,2100003584045,478000,EBJ-JA10,2021.0,黒,1902.0,3,43
247,2100006048179,498000,BA-AB27,2003.0,青,2380.0,3,48
250,2100004466296,2288000,YYK,2021.0,黒,3274.0,7,77
251,2100006090864,388000,2BJ-JA45,2021.0,茶,1.0,3,13
252,2100005623261,598000,EX400G,2021.0,黒,5888.0,5,76
253,2100005316323,440000,CRF190L,2021.0,白,0.0,7,30
254,2100004818996,1180000,2BL-NC42,2018.0,青,2187.0,5,10
255,2100005876896,498000,EBL-NC47,2013.0,赤,14599.0,1,2
257,2100006114157,528790,2BK-MC49,2020.0,黒,7603.0,5,80
258,2100004979833,88000,JBH-AF67,2009.0,青,3575.0,3,9
260,2100005368247,1580000,BC-ZR400E,2008.0,青,44730.0,3,6
262,2100005931755,148000,2BH-AY02,2022.0,茶,3509.0,1,44
264,2100005919661,1508000,2BL-ZR900C,2022.0,青,9015.0,5,32
265,2100005900836,1780000,8BL-ZR900K,2023.0,青,6609.0,5,48
266,2100005639415,1655000,SMTDAD76HW,2021.0,赤,5334.0,5,72
269,2100003751355,478000,2BK-DS11A,2017.0,黒,14886.0,3,61
270,2100006223620,1548000,LF3,2013.0,黒,4986.0,1,7
272,2100005888271,1798000,2BL-ZXT02A,2018.0,緑,20678.0,1,61
274,2100005586023,828000,CV3,2008.0,限定,23215.0,3,77
276,2100005171830,458000,2BJ-JC79,2021.0,銀,4349.0,1,61
279,2100006279566,678000,2BL-RC90,2016.0,白,11827.0,3,36
