,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
154,2100005733694,498000,2BL-RH13J,2019.0,黒,18642.0,3.0,37
155,2100006244496,1948000,JS9,2016.0,青,15398.0,3.0,77
156,2100005212489,330000,2BJ-JK05,2021.0,銀,6839.0,0.25,33
157,2100004947726,548000,2BK-RG43J,2019.0,青,4011.0,5.0,60
158,2100005194006,300000,2BJ-JK05,2021.0,銀,11224.0,0.25,17
159,2100006053333,248000,EBJ-JF28,2010.0,白,2308.0,0.25,4
160,2100005489133,1298000,ZXT40E,2013.0,黒,9680.0,1.0,14
161,2100005809757,628000,EBL-RM07J,2014.0,銀,22020.0,1.0,67
162,2100005932691,1180000,ZRT10C,1997.0,,,0.25,10
163,2100005449465,388000,2BK-ED22B,2021.0,黒,2315.0,7.0,26
164,2100006110814,978000,EBL-NC42,2014.0,青,6724.0,1.0,30
165,2100006015508,638000,2BK-MC51,2020.0,黒,5028.0,5.0,1
166,2100005916233,1068000,2BL-RN51J,2018.0,銀,4094.0,5.0,66
167,2100005865272,600000,EBL-RC62,2012.0,黒,12830.0,0.25,61
168,2100006251647,66000,BA-AF61,2004.0,銀,4388.0,0.25,7
169,2100006126471,428000,2BK-DN11A,2020.0,青,368.0,5.0,55
170,2100004437173,378000,8BJ-JA59,2022.0,白,251.0,3.0,14
171,2100006216028,438000,JBH-AB27,2011.0,青,4916.0,0.25,55
172,2100005356152,288000,EBJ-JC61,2016.0,白,4704.0,0.25,76
173,2100006066906,108000,JBH-CA4AA,2018.0,ピンク,4759.0,1.0,18
174,2100006104271,318000,2BJ-DL32B,2021.0,黒,527.0,3.0,12
175,2100005764100,2458000,8BL-SC54,2022.0,白,671.0,7.0,30
176,2100004238329,1698000,EBL-NC42,2017.0,白,490.0,3.0,1
177,2100004166837,478000,8BJ-JA58,2022.0,赤,248.0,3.0,26
178,2100005395342,978000,2BL-H4J765,2021.0,銀,12615.0,3.0,7
179,2100006073683,478000,2BK-DS11A,2021.0,黄,1305.0,7.0,37
180,2100006187489,208000,EBJ-CE47A,2021.0,黒,1793.0,3.0,46
181,2100006036831,208000,JBH-AF58,2011.0,茶,7271.0,0.25,13
182,2100006218787,1068000,8BL-RM39J,2022.0,青,1830.0,7.0,50
183,2100006030693,328000,2BK-RG43J,2018.0,銀,18476.0,3.0,27
184,2100006020595,1298000,ZR400C,2006.0,青,29590.0,0.25,44
185,2100005948203,178000,2BH-AY02,2018.0,茶,1118.0,1.0,4
186,2100006249613,1180000,8BL-SC83,2021.0,銀,754.0,7.0,26
187,2100005646505,777000,RP17J,2007.0,黒,31453.0,0.25,50
188,2100005365093,528000,2BK-MD44,2017.0,赤,5556.0,3.0,27
189,2100004145832,628000,2BL-EX400G,2019.0,白,6049.0,5.0,36
190,2100006036824,1168000,8BL-ER650M,2023.0,緑,3264.0,7.0,62
191,2100006226973,468000,2BK-MC52,2019.0,赤,151.0,5.0,2
192,2100006052954,1198000,2BL-NC42,2019.0,青,9986.0,5.0,32
193,2100006237238,778000,JBK-VG05J,2017.0,銀,7183.0,3.0,13
194,2100005645928,498000,JBK-MC33,2013.0,黒,4809.0,1.0,57
195,2100005337816,498000,JUJ42,2020.0,黒,10963.0,3.0,81
196,2100005700634,98000,JBH-AF75,2015.0,青,5091.0,0.25,9
197,2100005706421,188000,BA-AF58,2004.0,赤,9300.0,0.25,29
198,2100006280777,748000,BC-EJ400A,2008.0,茶,4722.0,0.25,3
199,2100005253932,2250000,2BL-ZXT02A,2020.0,緑,330.0,5.0,44
200,2100005910705,478000,2BL-DU11A,2017.0,銀,7502.0,3.0,37
201,2100004859593,598000,DS47,2016.0,黒,20703.0,1.0,82
202,2100005540896,828000,RN09,2002.0,赤,5186.0,0.25,6
203,2100004679283,1430000,ZXT40F,2015.0,緑,6127.0,1.0,44
204,2100006091816,448000,2BK-MC49,2017.0,銀,14576.0,3.0,57
205,2100006050592,1298000,8BL-SJ19J,2021.0,銀,5770.0,5.0,54
206,2100006202328,88000,JBH-AF67,2008.0,黒,9779.0,0.25,44
207,2100005772235,498000,EBL-RC70,2014.0,黒,15887.0,1.0,75
208,2100006188646,148000,EBJ-JF31,2011.0,青,11497.0,0.25,75
209,2100006264937,720000,S,2017.0,赤,,0.25,43
210,2100005974318,1298000,EBL-GX72B,2015.0,白,12271.0,1.0,75
211,2100005551359,728000,2BL-NC59,2022.0,銀,675.0,7.0,66
212,2100005006255,390500,BJHD1,2022.0,黒,0.0,7.0,79
213,2100005354059,1498000,EBL-ZRT20D,2016.0,,15572.0,3.0,41
214,2100006091724,778000,2BK-ZX250E,2022.0,緑,1944.0,7.0,32
215,2100003240378,468000,HD12,1997.0,白,5484.0,0.08333333333333333,6
216,2100005428460,548000,2BJ-JB02,2022.0,青,446.0,3.0,36
217,2100005746847,2668000,2BL-ZR900C,2023.0,黄,8.0,7.0,25
218,2100006298345,1398000,2BL-RC95,2021.0,黒,9445.0,5.0,36
219,2100005582452,1148000,2BL-RC95,2017.0,銀,20951.0,1.0,76
220,2100006106992,128000,JBH-SA37J,2011.0,茶,3974.0,0.25,61
221,2100005090971,848000,EBL-KA00,2020.0,オレンジ,8536.0,5.0,14
222,2100006257847,398000,ED22B,2020.0,銀,1728.0,5.0,54
223,2100005764841,328000,GJ55D,2012.0,銀,10900.0,0.25,3
224,2100005473729,538000,BA-DG08J,2004.0,黒,15315.0,0.25,6
225,2100005667456,1000000,CT3,2013.0,黒,15569.0,1.0,22
226,2100005881401,968000,2BL-RN52J,2017.0,銀,8894.0,3.0,7
227,2100006299502,348000,JBK-MC41,2016.0,白,17855.0,3.0,30
228,2100005572071,994000,2BL-VN09J,2020.0,青,7953.0,5.0,49
229,2100006016253,158000,2BH-AY01,2018.0,白,4249.0,1.0,21
230,2100005822527,258000,2BJ-JK03,2021.0,白,49.0,3.0,39
231,2100006001679,3950000,EBL-TGL,2014.0,青,2906.0,1.0,22
232,2100005582384,278000,BA-MC34,2004.0,オレンジ,12879.0,0.25,29
233,2100004559158,658000,RC60,2011.0,白,31453.0,0.25,76
234,2100006253764,158000,JBH-AF74,2018.0,銀,5632.0,0.25,51
235,2100005323406,1098000,2BL-RN52J,2018.0,黒,17255.0,3.0,37
236,2100005197021,128000,EBJ-SE53J,2011.0,銀,9937.0,0.25,64
237,2100006161878,278000,2BJ-JA45,2018.0,緑,7472.0,0.25,2
238,2100006272857,898000,EBL-RN46J,2016.0,白,13802.0,3.0,36
239,2100006129519,458000,2BJ-JA55,2020.0,茶,849.0,1.0,26
240,2100006152098,778000,2BK-ZX250E,2022.0,緑,8346.0,5.0,78
241,2100005732819,1350000,LE2,2014.0,黒,1688.0,1.0,22
242,2100005690850,695000,2BL-NC59,2021.0,銀,960.0,7.0,72
243,2100005482615,228000,EBJ-JF56,2014.0,黒,9728.0,0.25,69
244,2100005892902,498000,2BK-DS11A,2020.0,黒,1542.0,5.0,40
245,2100005631709,220000,EBJ-JA10,2013.0,黒,5966.0,0.25,8
246,2100003584045,478000,EBJ-JA10,2021.0,黒,1902.0,3.0,43
247,2100006048179,498000,BA-AB27,2003.0,青,2380.0,0.25,48
248,2100006289558,478000,JBK-MD38,2015.0,白,10170.0,1.0,36
249,2100005658706,158000,EBJ-JF31,2011.0,銀,3585.0,0.25,29
250,2100004466296,2288000,YYK,2021.0,黒,3274.0,7.0,77
251,2100006090864,388000,2BJ-JA45,2021.0,茶,1.0,3.0,13
252,2100005623261,598000,EX400G,2021.0,黒,5888.0,5.0,76
253,2100005316323,440000,CRF190L,2021.0,白,0.0,7.0,30
254,2100004818996,1180000,2BL-NC42,2018.0,青,2187.0,5.0,10
255,2100005876896,498000,EBL-NC47,2013.0,赤,14599.0,1.0,2
256,2100005885386,1750000,JN5,2015.0,赤,453.0,1.0,22
257,2100006114157,528790,2BK-MC49,2020.0,黒,7603.0,5.0,80
258,2100004979833,88000,JBH-AF67,2009.0,青,3575.0,0.25,9
259,2100005728980,318000,EBJ-SE82J,2016.0,,965.0,0.25,42
260,2100005368247,1580000,BC-ZR400E,2008.0,青,44730.0,0.25,6
261,2100005877954,238000,2BJ-JK03,2023.0,,102.0,3.0,14
262,2100005931755,148000,2BH-AY02,2022.0,茶,3509.0,1.0,44
263,2100005993449,798000,EBL-NC42,2012.0,青,26273.0,0.25,80
264,2100005919661,1508000,2BL-ZR900C,2022.0,青,9015.0,5.0,32
265,2100005900836,1780000,8BL-ZR900K,2023.0,青,6609.0,5.0,48
266,2100005639415,1655000,SMTDAD76HW,2021.0,赤,5334.0,5.0,72
267,2100006113624,298000,BA-MF06,2003.0,青,8408.0,0.25,34
268,2100005537728,858000,2BL-C533F,2017.0,,3577.0,3.0,16
269,2100003751355,478000,2BK-DS11A,2017.0,黒,14886.0,3.0,61
270,2100006223620,1548000,LF3,2013.0,黒,4986.0,1.0,7
271,2100005665186,1458000,GX72A,2018.0,赤,13196.0,3.0,60
272,2100005888271,1798000,2BL-ZXT02A,2018.0,緑,20678.0,1.0,61
273,2100005901123,658000,JBK-VG05J,2012.0,青,4397.0,0.25,71
274,2100005586023,828000,CV3,2008.0,限定,23215.0,0.25,77
275,2100004115385,4380000,Z1F,1973.0,黄,,0.08333333333333333,6
276,2100005171830,458000,2BJ-JC79,2021.0,銀,4349.0,1.0,61
277,2100005443111,1598000,NC35,1996.0,白,33123.0,0.08333333333333333,6
278,2100005422178,498000,JBK-RG10J,2020.0,青,2610.0,5.0,15
279,2100006279566,678000,2BL-RC90,2016.0,白,11827.0,3.0,36
280,2100006001044,1528000,BC-ZR400C,2007.0,赤,16782.0,0.25,54
281,2100005798709,520000,2BL-RH13J,2021.0,青,8888.0,5.0,5
282,2100005796286,440000,8BJ-JB04,2023.0,赤,0.0,3.0,43
283,2100005204927,378000,JBK-MC40,2010.0,赤,21569.0,0.25,61
284,2100006112009,690000,ZR250B,2005.0,黒,,0.25,5
285,2100006123111,128000,2BH-AY01,2021.0,緑,11394.0,0.25,27
286,2100006161342,698000,2BK-MD47,2021.0,赤,1892.0,7.0,62
287,2100006027464,3338000,2BL-FLP,2019.0,黒,7037.0,5.0,61
288,2100005939553,578000,2BL-RH13J,2021.0,黒,43.0,7.0,21
289,2100005994453,698000,2BL-RM19J,2018.0,黒,2782.0,5.0,48
290,2100006204179,200000,2BJ-DV12B,2019.0,黒,14273.0,0.25,56
291,2100005673273,99800,JBH-AF70,2011.0,茶,14557.0,0.25,76
292,2100003934833,398000,JBK-BX250A,2015.0,緑,4240.0,1.0,27
293,2100006201949,1098000,8BL-SC83,2021.0,赤,1905.0,7.0,72
294,2100006045345,2250000,BML,1999.0,青,12120.0,0.08333333333333333,22
295,2100005858311,978000,EBL-SC61,2010.0,赤,15440.0,0.25,61
296,2100005469012,288000,2BJ-BR125H,2021.0,白,5166.0,0.25,34
297,2100005995146,86000,JBH-SA36J,2011.0,赤,19389.0,0.25,80
298,2100006211238,178000,EBJ-CE47A,2016.0,,2738.0,0.25,14
299,2100006221091,1098000,ZRT20A,2002.0,,31440.0,0.25,10
300,2100006131062,2498000,2BL-S10AA,2020.0,白,12945.0,3.0,2
301,2100005876995,838000,LA6,2009.0,,26469.0,0.25,41
302,2100006064933,498000,2BK-MC52,2019.0,黒,192.0,5.0,11
303,2100005707190,798000,CKM,2009.0,黒,11150.0,0.25,61
304,2100006256413,666000,SH15J,2020.0,青,5686.0,5.0,32
305,2100006017847,898000,EBL-GJ900,2016.0,赤,18329.0,3.0,44
306,2100006144819,658000,2BL-NC59,2021.0,黒,3226.0,7.0,37
307,2100005657129,698000,2BL-RH16J,2021.0,青,3346.0,7.0,3
308,2100004523579,238000,BA-AA01,2004.0,緑,9155.0,0.25,6
309,2100005070836,478000,HD12,1994.0,白,6797.0,0.08333333333333333,6
310,2100006249774,1148000,8BL-SC83,2021.0,黒,5221.0,5.0,14
311,2100006160703,198000,8BJ-SEJ5J,2022.0,黒,4228.0,1.0,76
312,2100006155860,638000,2BK-MC49,2022.0,黒,907.0,7.0,69
313,2100006134599,458000,2BK-KF38,2020.0,黒,3070.0,5.0,30
314,2100005497015,398000,2BJ-JA48,2021.0,青,1311.0,3.0,66
315,2100005988995,498000,BA-DG10J,2007.0,オレンジ,4834.0,0.25,6
316,2100005856126,998000,EBL-SC65,2010.0,赤,8552.0,0.25,37
317,2100005989473,1468000,BC-ZR400C,2008.0,限定,34264.0,0.25,2
318,2100006216639,148000,2BH-AY01,2021.0,茶,4638.0,1.0,54
319,2100005681988,1180000,2BL-RN51J,2020.0,銀,6233.0,5.0,33
320,2100005460385,198000,2BH-AA09,2018.0,青,3218.0,1.0,13
321,2100005818001,2698000,2BL-ZXT02E,2019.0,緑,,0.25,1
322,2100006112214,158000,EBJ-CF4EA,2009.0,黒,7757.0,0.25,7
323,2100005919562,1478000,2BL-ZR900C,2019.0,黒,3993.0,5.0,11
324,2100005072519,389000,JBK-RG10J,2017.0,青,9702.0,3.0,11
325,2100006023336,98000,JBH-AF67,2007.0,銀,487.0,0.25,2
326,2100006130379,218000,EBJ-JA10,2013.0,黄,1570.0,0.25,13
327,2100005840897,228000,EBL-JF19,2010.0,白,6606.0,0.25,76
328,2100006153453,498000,2BL-NC47,2017.0,黒,8861.0,3.0,72
329,2100005829403,1980000,YYK,2021.0,白,8660.0,5.0,15
330,2100004016149,360000,BA-NJ4BA,2006.0,青,13255.0,0.25,5
331,2100006269345,1058000,VP33E,,赤,23594.0,0.08333333333333333,7
332,2100006238563,358000,JBK-NJ4DA,2010.0,白,14235.0,0.25,11
333,2100004553453,668000,EBL-NC42,2008.0,白,,0.25,79
334,2100005911214,228000,BA-CD50,1999.0,銀,7035.0,0.25,34
335,2100006250794,678000,EBL-XGB,2017.0,黒,3245.0,3.0,72
336,2100005856485,358000,8BJ-JK12,2022.0,白,2766.0,1.0,21
337,2100004751651,398000,JBK-GJ55D,2015.0,青,19195.0,1.0,52
338,2100005759656,998000,8BL-RM41J,2022.0,黒,1255.0,7.0,59
339,2100006154146,418000,RG631,,緑,1354.0,0.25,11
340,2100005400442,1328000,EBL-SD04,2018.0,白,7789.0,5.0,36
341,2100005684736,2100000,ZXT40E,2014.0,白,12936.0,1.0,27
342,2100004875289,273000,2BJ-SED8J,2020.0,黒,6642.0,0.25,78
343,2100006018264,88000,JBH-CA4AA,2019.0,ピンク,3734.0,1.0,62
344,2100006078572,628000,2BL-NC59,2021.0,銀,2125.0,7.0,15
345,2100006207477,208000,EBJ-CE47A,2020.0,黒,7015.0,1.0,66
346,2100006249194,848000,JBK-DG15J,2014.0,青,225.0,1.0,34
347,2100005671958,615000,RN13N,2005.0,青,39008.0,0.25,72
348,2100005884037,178000,EBJ-SE44J,2007.0,銀,12809.0,0.25,43
349,2100005991643,888000,2BL-RN51J,2016.0,青,11372.0,3.0,1
350,2100005501149,908000,2BL-RN52J,2017.0,黒,12473.0,3.0,15
351,2100006311327,318000,2BJ-JA45,2021.0,緑,4379.0,1.0,31
352,2100005258807,328000,2BJ-JA45,2018.0,黄,357.0,1.0,33
353,2100005668491,438000,8BJ-JC91,2021.0,銀,30.0,3.0,60
354,2100005029360,108000,JBH-AF70,2015.0,ピンク,2581.0,0.25,9
355,2100005879491,1258000,2BL-ZX636G,2019.0,黒,17198.0,3.0,18
356,2100005992329,348000,BC-SJ02J,2002.0,白,11480.0,0.25,52
357,2100005731119,620000,EBL-XGB,2017.0,黒,10856.0,3.0,43
358,2100005114141,525000,8BJ-JB04,2023.0,青,723.0,3.0,59
359,2100006172577,758000,2BK-ZX250E,2022.0,緑,2629.0,7.0,7
360,2100006294415,1628000,YJJE,2018.0,黒,16053.0,3.0,70
361,2100006231663,498000,BA-MC29,2005.0,,12866.0,0.25,10
362,2100006124996,428000,JBK-LX250V,2014.0,緑,,1.0,67
363,2100005847148,378000,2BK-DN11A,2017.0,黒,8218.0,3.0,7
364,2100004050723,1348000,2BL-NC42,2019.0,黒,6777.0,5.0,2
365,2100005775427,1398000,2BL-SC65,2017.0,黒,9962.0,3.0,49
